imdb_id,cert
tt0110305,PG
tt0107362,PG-13
tt0107413,PG
tt0110353,PG-13
tt0107468,R
tt0107478,PG-13
tt0107497,R
tt0107501,PG-13
tt0107507,PG
tt0107554,R
tt0116253,R
tt0074102,
tt0111689,R
tt0107616,PG-13
tt0107611,R
tt0107613,PG-13
tt0107614,PG-13
tt0107653,R
tt0110657,PG
tt0110649,R
tt0110678,R
tt0110687,PG
tt0107756,PG-13
tt0107808,PG-13
tt0107818,PG-13
tt0107822,R
tt0107840,R
tt0107889,R
tt0111003,R
tt0110939,PG
tt0110955,R
tt0107943,PG
tt0110971,PG-13
tt0107969,R
tt0111001,R
tt0107978,PG-13
tt0107977,PG-13
tt0107983,R
tt0105275,R
tt0108000,R
tt0108002,PG
tt0108026,R
tt0105032,
tt0111094,PG-13
tt0108065,PG
tt0111102,PG-13
tt0108071,G
tt0111127,R
tt0111143,PG-13
tt0108101,PG
tt0111194,PG-13
tt0111201,R
tt0108149,R
tt0108160,PG
tt0108162,R
tt0083658,R
tt0108186,PG-13
tt0108174,PG-13
tt0108238,R
tt0089256,R
tt0108255,PG
tt0111323,R
tt0111400,PG-13
tt0108328,R
tt0111418,R
tt0107688,PG
tt0108333,PG
tt0108358,R
tt0111488,R
tt0108399,R
tt0108515,PG
tt0110763,G
tt0107779,
tt0110259,R
tt0114906,R
tt0109403,R
tt0104029,R
tt0110623,R
tt0107315,
tt0106408,R
tt0110363,PG
tt0107349,R
tt0109828,R
tt0107225,R
tt0111252,
tt0110366,PG
tt0106878,R
tt0109120,PG
tt0108059,R
tt0110892,PG
tt0112651,R
tt0107642,
tt0109382,
tt0106678,PG-13
tt0112572,PG-13
tt0099785,PG
tt0099653,PG-13
tt0103639,G
tt0103064,R
tt0096895,PG-13
tt0102926,R
tt0029583,
tt0101414,G
tt0032910,G
tt0100405,R
tt0110719,PG-13
tt0065214,R
tt0110395,R
tt0111752,R
tt0109934,R
tt0112606,PG-13
tt0117247,PG
tt0112625,R
tt0106537,R
tt0116282,R
tt0116552,G
tt0082509,R
tt0116514,R
tt0117283,PG-13
tt0116684,PG
tt0110374,R
tt0070506,
tt0065421,G
tt0113083,R
tt0118001,PG-13
tt0116165,PG
tt0102855,
tt0107471,R
tt0113839,R
tt0112712,R
tt0090665,
tt0117891,R
tt0113613,R
tt0117381,R
tt0114305,R
tt0115837,R
tt0115509,G
tt0114671,R
tt0112844,PG-13
tt0114658,PG
tt0116275,PG-13
tt0113122,
tt0117608,PG
tt0113448,PG
tt0116414,R
tt0116095,R
tt0111543,PG
tt0117517,
tt0113947,
tt0115956,R
tt0117060,PG-13
tt0109028,
tt0117071,PG-13
tt0117788,
tt0112257,
tt0116136,PG-13
tt0117117,
tt0116168,PG-13
tt0111787,PG
tt0112509,R
tt0054189,PG-13
tt0115591,PG
tt0116683,PG
tt0116287,R
tt0116768,R
tt0116269,R
tt0113720,
tt0112536,R
tt0048473,R
tt0052572,R
tt0117128,PG-13
tt0114616,R
tt0117705,PG
tt0062711,
tt0110061,R
tt0140614,R
tt0058898,R
tt0082206,R
tt0111430,
tt0107727,R
tt0081759,R
tt0113443,R
tt0109491,PG-13
tt0114048,PG
tt0111613,R
tt0117104,PG-13
tt0117688,PG-13
tt0117774,R
tt0116289,R
tt0109593,R
tt0112368,PG-13
tt0104046,
tt0062952,R
tt0115742,PG-13
tt0117420,PG-13
tt0115951,R
tt0117784,R
tt0117107,R
tt0117979,PG-13
tt0095776,G
tt0115851,PG-13
tt0116322,PG
tt0109374,R
tt0110712,R
tt0112817,R
tt0113362,R
tt0073778,R
tt0112546,R
tt0108500,R
tt0117108,PG-13
tt0113270,R
tt0333373,
tt0115963,R
tt0116448,R
tt0116827,R
tt0113429,
tt0116508,R
tt0117260,R
tt0117500,R
tt0116405,R
tt0109592,R
tt0117998,PG-13
tt0115624,R
tt0113145,
tt0116559,
tt0113568,
tt0117894,R
tt0117723,PG-13
tt0112586,
tt0040366,
tt0117768,PG
tt0115571,PG-13
tt0031612,
tt0057012,PG
tt0103926,R
tt0113849,PG
tt0113188,PG
tt0042644,
tt0109381,
tt0109688,R
tt0104606,
tt0110480,
tt0108211,R
tt0117331,PG
tt0117765,R
tt0116833,R
tt0113280,R
tt0116669,PG-13
tt0116594,R
tt0113211,PG
tt0114494,R
tt0094265,R
tt0105201,
tt0070820,R
tt0084898,
tt0063715,R
tt0109191,R
tt0114122,PG-13
tt0117951,R
tt0118523,PG-13
tt0116629,PG-13
tt0117737,R
tt0116277,R
tt0116583,G
tt0115798,PG-13
tt0116778,PG-13
tt0116213,R
tt0117218,PG-13
tt0100990,R
tt0111546,
tt0093199,R
tt0106810,
tt0111180,R
tt0111237,R
tt0116040,PG-13
tt0116365,R
tt0116905,R
tt0116493,PG
tt0117333,PG
tt0118113,R
tt0117628,R
tt0117913,R
tt0115530,R
tt0114266,
tt0115493,PG
tt0116320,R
tt0116756,PG
tt0109356,
tt0116823,PG
tt0114170,R
tt0117999,R
tt0118073,PG-13
tt0108220,
tt0049521,R
tt0104403,
tt0061495,R
tt0110246,
tt0116164,R
tt0112716,PG
tt0115472,G
tt0116707,PG-13
tt0116313,PG
tt0114550,R
tt0117438,R
tt0116531,PG-13
tt0117332,R
tt0116353,R
tt0115857,PG-13
tt0117008,PG
tt0116191,PG
tt0115986,R
tt0116571,PG
tt0053459,R
tt0117826,R
tt0113695,
tt0108227,
tt0111424,
tt0113080,R
tt0115680,R
tt0117718,PG-13
tt0116225,R
tt0112767,
tt0115632,R
tt0117918,R
tt0104109,PG
tt0051980,R
tt0100840,
tt0042054,
tt0109255,R
tt0104558,R
tt0116985,R
tt0046468,
tt0114474,R
tt0115736,R
tt0115836,PG
tt0101692,R
tt0116745,R
tt0119214,PG
tt0116934,R
tt0109066,R
tt0075169,
tt0113542,R
tt0106544,R
tt0116418,R
tt0112607,
tt0120004,R
tt0116654,PG-13
tt0116311,PG
tt0117965,R
tt0114592,R
tt0115725,PG
tt0115783,R
tt0120271,PG-13
tt0113253,R
tt0117991,PG
tt0117093,R
tt0024252,R
tt1684935,
tt0111019,R
tt0032904,R
tt0045152,G
tt0043278,
tt0050419,R
tt0054698,
tt0052357,PG
tt0047396,PG
tt0025316,
tt0036855,R
tt0025164,
tt0053125,
tt0053604,
tt0053291,
tt0056923,
tt0034583,PG
tt0033870,
tt0047437,
tt0046250,R
tt0031580,
tt0037059,
tt0032138,PG
tt0084370,PG
tt0043014,
tt0033467,PG
tt0062622,G
tt0039428,
tt0042192,
tt0032143,R
tt0032976,
tt0032484,
tt0038787,R
tt0038109,
tt0050105,R
tt0048728,PG
tt0042451,R
tt0045537,
tt0031725,R
tt0050658,R
tt0051658,G
tt0052126,
tt0029843,PG
tt0032762,
tt0037008,
tt0039420,R
tt0029162,
tt0027125,R
tt0035446,
tt0028010,R
tt0048028,PG
tt0025878,PG
tt0032599,
tt0038650,PG
tt0031679,
tt0029947,
tt0034012,R
tt0036094,R
tt0025586,R
tt0038300,
tt0027893,
tt0032022,
tt0041509,
tt0039152,
tt0026029,
tt0038235,
tt0036241,G
tt0063350,R
tt0043265,PG
tt0046414,
tt0051459,R
tt0047162,
tt0033891,
tt0029855,
tt0029588,
tt0022879,
tt0027980,
tt0114007,R
tt0093229,
tt0118927,R
tt0048491,
tt0113730,R
tt0117357,R
tt0117669,G
tt0116329,PG
tt0118742,R
tt0116442,R
tt0114354,R
tt0117011,R
tt0117039,R
tt0117473,R
tt0116635,PG
tt0115678,R
tt0116830,R
tt0115847,R
tt0117603,R
tt0115438,R
tt0115994,R
tt0083587,R
tt0116167,R
tt0116259,R
tt0116421,R
tt0116000,PG
tt0115862,R
tt0072653,G
tt0047977,
tt0072951,G
tt0064603,G
tt0071607,G
tt0050798,
tt0055277,
tt0054195,
tt0107131,G
tt0053271,
tt0054357,G
tt0059793,
tt0046672,G
tt0106611,PG
tt0109127,PG
tt0042332,G
tt0038166,
tt0057546,G
tt0041890,
tt0102798,PG-13
tt0058331,G
tt0033563,G
tt0076538,G
tt0066817,G
tt0043274,G
tt0082406,G
tt0116361,R
tt0095016,R
tt0104692,R
tt0118044,R
tt0114597,
tt0117582,R
tt0117589,R
tt0117887,PG
tt0117924,PG-13
tt0117791,R
tt0116928,R
tt0115640,R
tt0116908,R
tt0116409,R
tt0116913,PG-13
tt0117958,R
tt0117202,R
tt0116404,R
tt0120107,R
tt0116722,R
tt0116242,R
tt0115600,
tt0117509,PG-13
tt0117802,R
tt0117665,R
tt0116714,R
tt0043140,
tt0029546,
tt0028757,
tt0039286,
tt0037101,
tt0044863,
tt0109823,PG-13
tt0067992,G
tt0111622,
tt0055018,R
tt0070707,PG
tt0066808,PG-13
tt0095159,R
tt0079470,R
tt0084865,PG
tt0068334,PG
tt0061418,R
tt0052027,R
tt0046912,PG
tt0113731,
tt0092890,PG-13
tt0105236,R
tt0091763,R
tt0098627,PG-13
tt0103772,R
tt0101761,R
tt0104036,R
tt0104348,R
tt0083866,PG
tt0117577,R
tt0029992,
tt0099371,PG-13
tt0092099,PG
tt0115531,R
tt0048545,PG-13
tt0044081,PG
tt0116859,G
tt0115870,
tt0115684,R
tt0117040,G
tt0117284,R
tt0115580,PG-13
tt0116378,R
tt0113057,
tt0116581,
tt0114622,R
tt0112907,R
tt0117318,R
tt0116422,R
tt0117320,
tt0082846,PG
tt0072081,G
tt0101775,PG-13
tt0096754,PG-13
tt0080749,R
tt0082340,R
tt0082533,R
tt0091288,PG
tt0091480,PG
tt0107274,
tt0081375,R
tt0071853,PG
tt0116587,
tt0112777,
tt0116245,R
tt0116212,PG-13
tt0117968,
tt0116886,R
tt0117677,
tt0112759,
tt0118147,PG
tt0110173,
tt0084589,R
tt0109781,
tt0040427,
tt0040723,R
tt0039881,
tt0034493,R
tt0039004,
tt0026465,
tt0026656,
tt0025799,
tt0078875,R
tt0060304,R
tt0115715,
tt0116059,PG
tt0115610,R
tt0099028,PG-13
tt0112483,R
tt0103850,R
tt0095765,R
tt0097108,
tt0101700,R
tt0101765,R
tt0101811,PG
tt0050825,
tt0099703,R
tt0102014,R
tt0120121,R
tt0102426,R
tt0097937,R
tt0098724,R
tt0105107,R
tt0105488,PG
tt0096257,R
tt0101026,
tt0102370,R
tt0100332,R
tt0073486,R
tt0078446,R
tt0080684,PG
tt0093779,PG
tt0082971,PG
tt0088846,R
tt0090605,R
tt0094336,R
tt0050083,
tt0066921,R
tt0056592,
tt0086190,PG
tt0093191,PG-13
tt0041959,
tt0099685,R
tt0078748,R
tt0106308,R
tt0097202,R
tt0054215,R
tt0080455,R
tt0093058,R
tt0097499,PG-13
tt0045061,
tt0081398,R
tt0075686,PG
tt0082096,R
tt0070735,PG
tt0067185,PG
tt0103130,R
tt0050976,R
tt0085859,PG
tt0088247,R
tt0103873,R
tt0097441,R
tt0100519,PG
tt0079522,R
tt0100150,R
tt0097165,PG
tt0061722,PG
tt0052311,PG-13
tt0100263,R
tt0056801,R
tt0071315,R
tt0043456,G
tt0040897,
tt0092610,R
tt0023969,R
tt0088794,PG
tt0081505,R
tt0092005,R
tt0022100,
tt0092991,R
tt0082269,R
tt0107048,PG
tt0105695,R
tt0056218,PG-13
tt0100436,R
tt0036613,R
tt0088763,PG
tt0101921,PG-13
tt0090967,R
tt0094625,R
tt0091203,R
tt0061512,G
tt0099334,PG
tt0072431,PG
tt0102536,R
tt0101640,PG
tt0032553,
tt0032455,G
tt0044706,PG
tt0038355,
tt0097493,R
tt0081534,PG
tt0088258,R
tt0085809,R
tt0094006,PG-13
tt0097576,PG-13
tt0078841,PG
tt0091867,R
tt0089886,PG
tt0084503,R
tt0087553,R
tt0089606,
tt0049223,G
tt0097351,PG
tt0073341,PG
tt0064115,PG
tt0087884,R
tt0098635,R
tt0113369,R
tt0114089,
tt0116589,R
tt0117550,PG
tt0116293,R
tt0116953,R
tt0115754,R
tt0114093,R
tt0116601,PG-13
tt0112537,R
tt0103644,R
tt0082010,R
tt0085159,PG
tt0083550,R
tt0078767,R
tt0071233,R
tt0090655,R
tt0075704,PG
tt0092632,R
tt0056869,PG-13
tt0051418,
tt0082083,R
tt0101492,R
tt0037549,
tt0103874,R
tt0026138,R
tt0074258,PG
tt0103919,R
tt0101540,R
tt0055824,
tt0074285,R
tt0083722,R
tt0087800,R
tt0091651,
tt0075005,R
tt0115710,R
tt0115495,R
tt0117057,PG-13
tt0119791,R
tt0117731,PG-13
tt0117631,PG-13
tt0117666,R
tt0116705,PG
tt0084116,R
tt0117293,R
tt0117372,PG
tt0113557,R
tt0117477,R
tt0115988,PG-13
tt0115433,G
tt0110171,
tt0099423,R
tt0079945,G
tt0102975,PG
tt0098382,PG
tt0084726,PG
tt0088170,PG
tt0092007,PG
tt0103776,PG-13
tt0096487,R
tt0100994,PG-13
tt0077631,PG
tt0084021,PG
tt0100114,R
tt0115471,R
tt0117773,R
tt0105690,R
tt0052287,R
tt0073195,PG
tt0077766,PG
tt0085750,PG
tt0117119,PG-13
tt0116996,PG-13
tt0115906,R
tt0116695,R
tt0093822,PG-13
tt0094155,R
tt0105435,PG-13
tt0115633,R
tt0116621,PG-13
tt0116999,PG-13
tt0117691,R
tt0116410,PG-13
tt0119783,R
tt0115641,PG-13
tt0112769,R
tt0117571,R
tt0104691,R
tt0117038,PG
tt0116240,PG-13
tt0117690,R
tt0118163,PG
tt0117091,PG-13
tt0118100,R
tt0116250,PG
tt0117364,PG-13
tt0067959,G
tt0117028,
tt0119731,R
tt0116506,R
tt0119115,PG-13
tt0120550,PG
tt0120390,R
tt0112362,R
tt0116704,PG-13
tt0120414,R
tt0118708,PG-13
tt0119664,R
tt0080714,PG
tt0106535,R
tt0118928,PG-13
tt0106266,PG-13
tt0106387,PG
tt0119937,PG-13
tt0117907,R
tt0109949,
tt0119640,PG
tt0116790,PG-13
tt0119225,R
tt0116310,
tt0118111,R
tt0116754,R
tt0118691,PG
tt0120238,R
tt0116565,R
tt0119887,PG-13
tt0119141,PG-13
tt0120357,R
tt0118548,R
tt0120317,PG
tt0120434,PG
tt0120318,PG-13
tt0116922,R
tt0120036,R
tt0119008,R
tt0118750,R
tt0118762,
tt0118859,R
tt0118702,R
tt0119432,PG
tt0116743,R
tt0119951,R
tt0119572,R
tt0120053,PG-13
tt0120152,R
tt0118064,R
tt0115964,
tt0116041,R
tt0119528,PG-13
tt0117422,PG
tt0120094,PG
tt0118972,R
tt0118829,G
tt0118663,PG-13
tt0116931,R
tt0120389,PG
tt0118623,PG-13
tt0119013,R
tt0119381,R
tt0118615,PG-13
tt0119229,R
tt0116762,R
tt0116783,R
tt0118541,R
tt0113314,R
tt0119859,R
tt0120366,R
tt0118586,R
tt0118783,R
tt0117050,PG-13
tt0120032,R
tt0116295,R
tt0120461,PG-13
tt0115886,R
tt0118655,PG-13
tt0118771,R
tt0115760,
tt0115927,R
tt0117482,R
tt0120383,R
tt0105660,R
tt0120479,PG
tt0119109,PG-13
tt0119116,PG-13
tt0116643,R
tt0119809,R
tt0120190,R
tt0058985,R
tt0119578,R
tt0117615,PG
tt0120087,PG
tt0120394,
tt0118556,R
tt0115744,R
tt0118964,R
tt0119567,PG-13
tt0117359,R
tt0117561,R
tt0120118,PG
tt0114303,PG-13
tt0120373,PG-13
tt0118787,PG
tt0118880,R
tt0116834,R
tt0114134,R
tt0112951,
tt0120179,PG-13
tt0117724,R
tt0117775,R
tt0118127,R
tt0118688,PG-13
tt0119019,R
tt0120034,PG-13
tt0116502,PG-13
tt0119282,G
tt0119502,R
tt0116949,
tt0119738,PG-13
tt0105569,R
tt0115856,R
tt0057345,R
tt0119094,R
tt0119098,R
tt0116384,R
tt0117076,
tt0113425,R
tt0116334,R
tt0119654,PG-13
tt0119848,PG-13
tt0120512,PG
tt0120133,PG
tt0118884,PG
tt0119173,R
tt0082198,R
tt0119190,PG
tt0118887,R
tt0119081,R
tt0120177,PG-13
tt0118570,PG
tt0119896,PG-13
tt0119361,R
tt0119152,PG
tt0118818,R
tt0118883,R
tt0118966,R
tt0120207,PG-13
tt0120112,R
tt0119311,R
tt0119509,PG
tt0119675,R
tt0119695,R
tt0119086,PG-13
tt0119484,PG-13
tt0118571,R
tt0118531,R
tt0099810,PG
tt0102494,R
tt0119465,R
tt0120197,R
tt0119360,PG-13
tt0119051,R
tt0119874,R
tt0119488,R
tt0120102,PG-13
tt0119468,R
tt0120169,R
tt0119457,R
tt0120524,R
tt0120323,R
tt0119174,R
tt0119123,R
tt0120399,R
tt0119557,R
tt0119632,R
tt0118647,R
tt0120151,R
tt0120402,R
tt0119349,R
tt0120192,R
tt0118842,R
tt0119326,R
tt0119164,R
tt0116631,R
tt0119280,PG
tt0119345,R
tt0118971,R
tt0120029,PG
tt0119906,R
tt0119324,R
tt0119107,PG
tt0120481,PG
tt0120303,PG-13
tt0120539,R
tt0119177,PG-13
tt0119095,PG
tt0119891,R
tt0120257,PG-13
tt0119535,R
tt0119338,R
tt0119080,R
tt0119210,R
tt0118900,R
tt0083131,R
tt0117221,R
tt0118689,PG-13
tt0119327,R
tt0119592,PG-13
tt0119832,R
tt0120275,PG
tt0120490,R
tt0119527,R
tt0119978,PG-13
tt0090329,R
tt0119365,R
tt0120201,R
tt0118901,R
tt0107282,R
tt0118836,PG-13
tt0120148,PG-13
tt0119707,PG-13
tt0120382,PG
tt0120520,R
tt0119723,PG-13
tt0119994,R
tt0119395,R
tt0118617,G
tt0120483,PG
tt0118583,R
tt0112318,R
tt0118632,PG-13
tt0123385,R
tt0118698,
tt0109266,
tt0118764,R
tt0118804,R
tt0118954,R
tt0119137,PG
tt0119142,PG-13
tt0119217,R
tt0116465,R
tt0119303,PG
tt0119352,R
tt0116976,R
tt0119715,PG
tt0119819,R
tt0120082,R
tt0120222,R
tt0120255,R
tt0128755,
tt0120347,PG-13
tt0117994,
tt0118230,
tt0119052,PG
tt0120521,R
tt0119485,PG-13
tt0119718,PG
tt0118715,R
tt0118566,R
tt0119590,R
tt0119223,R
tt0118539,PG
tt0119655,
tt0119988,R
tt0120670,R
tt0120820,R
tt0120885,R
tt0118929,R
tt0116845,R
tt0120478,PG
tt0120696,R
tt0120693,R
tt0119099,R
tt0120122,PG
tt0112913,R
tt0119815,R
tt0120185,PG
tt0118956,R
tt0128690,R
tt0119521,R
tt0119734,PG-13
tt0119711,
tt0120008,R
tt0120594,R
tt0119784,R
tt0118747,PG-13
tt0114690,R
tt0120707,R
tt0120888,PG-13
tt0120184,PG-13
tt0118662,R
tt0116379,R
tt0119548,R
tt0120782,R
tt0119822,PG-13
tt0099939,R
tt0119656,R
tt0119594,R
tt0120873,PG-13
tt0120491,R
tt0119574,PG-13
tt0112619,
tt0140282,PG-13
tt0118744,PG-13
tt0120241,R
tt0120744,PG-13
tt0120769,PG-13
tt0120890,R
tt0125454,PG
tt0120642,PG-13
tt0119250,
tt0119942,R
tt0119780,R
tt0120510,PG
tt0120793,R
tt0119049,R
tt0124179,R
tt0119560,R
tt0120219,PG-13
tt0120108,R
tt0120772,R
tt0120645,PG
tt0119305,R
tt0119905,R
tt0120598,G
tt0124295,PG-13
tt0118851,R
tt0120738,PG-13
tt0119272,R
tt0120749,R
tt0120176,PG
tt0120632,PG-13
tt0120728,R
tt0120773,PG-13
tt0120765,PG
tt0124718,R
tt0119196,R
tt0118229,R
tt0120213,PG
tt0118819,R
tt0120906,R
tt0119792,R
tt0117443,R
tt0118755,PG
tt0119947,PG-13
tt0130019,R
tt0119508,
tt0118727,R
tt0118577,R
tt0120723,R
tt0120725,PG-13
tt0138563,R
tt0119987,R
tt0117786,PG-13
tt0120265,R
tt0119448,R
tt0118785,
tt0120841,R
tt0120742,PG-13
tt0120838,R
tt0141986,PG
tt0120609,R
tt0120856,PG
tt0120610,PG-13
tt0118925,PG
tt0119952,R
tt0119683,PG-13
tt0120211,PG-13
tt0118866,PG-13
