imdb_id,production_company
tt0114694,Broadway Pictures
tt0111590,Channel Four Films
tt0114788,Populist Pictures
tt0114888,Savoy Pictures
tt0108550,Paramount Pictures
tt0114857,Paramount Pictures
tt0114924,Hollywood Pictures
tt0111667,Island World
tt0109655,British Columbia Film Commission
tt0110598,CiBy 2000
tt0112435,Beacon Communications
tt0109040,Morgan Creek Entertainment
tt0109045,PolyGram Filmed Entertainment
tt0106339,Channel Four Films
tt0104779,Canal+
tt0109348,Miramax
tt0109444,Mace Neufeld Productions
tt0109446,Warner Bros.
tt0109484,New Line Cinema
tt0109504,Universal Pictures
tt0109506,Crowvision Inc.
tt0109450,Alcor Films
tt0109813,Universal Pictures
tt0109830,Paramount Pictures
tt0109831,PolyGram Filmed Entertainment
tt0113305,Columbia Pictures
tt0110091,Columbia Pictures
tt0110093,Annhall
tt0110167,TriStar Pictures
tt0110213,Vegahom Europe
tt0110357,Walt Disney Pictures
tt0107426,CiBy 2000
tt0111686,New Line Cinema
tt0110475,New Line Cinema
tt0110478,Donner/Shuler-Donner Productions
tt0110588,Fine Line Features
tt0110622,Paramount Pictures
tt0110771,Universal Pictures
tt0110950,Jersey Films
tt0105226,Propaganda Films
tt0110989,Warner Bros.
tt0111054,New Line Cinema
tt0110997,Universal Pictures
tt0111257,The Mark Gordon Company
tt0111256,Forge
tt0111438,Largo Entertainment
tt0111503,Twentieth Century Fox
tt0111693,Touchstone Pictures
tt0111742,Columbia Pictures
tt0112443,Touchstone Pictures
tt0110455,BBC Films
tt0111048,Polygram Filmed Entertainment
tt0110399,Caravan Pictures
tt0112570,Strand Releasing
tt0109454,Canal+
tt0059170,Eve Productions
tt0110186,"Jackson/McHenry Company,The"
tt0108069,BBC Bristol
tt0111301,Capcom Entertainment
tt0112702,Motion Picture Corporation of America (MPCA)
tt0112849,Achilles Films
tt0113014,Bates Entertainmant
tt0113043,A-Pix Entertainment
tt0113104,Theodore Thomas Productions
tt0113173,Overseas FilmGroup
tt0113319,Arrow
tt0113827,Olmos Productions
tt0114047,Frozen Rope Productions Inc.
tt0109339,
tt0110027,Fallingcloud
tt0109785,Eagle Beach
tt0113409,New Line Cinema
tt0109021,Jersey Films
tt0109035,New Line Cinema
tt0106220,Paramount Pictures
tt0111804,HBO Independent Productions
tt0106226,Columbia Pictures
tt0109068,Twentieth Century Fox
tt0109067,Hollywood Pictures
tt0106292,Touchstone Pictures
tt0109198,Twentieth Century Fox
tt0109219,Barcelona Films
tt0106379,Warner Bros.
tt0106400,Twentieth Century Fox
tt0109254,Paramount Pictures
tt0109279,Warner Bros.
tt0109297,New Line Cinema
tt0109303,Metro-Goldwyn-Mayer (MGM)
tt0109305,Paramount Pictures
tt0109306,Orion Pictures
tt0106452,Dorset Productions
tt0106471,Mainline Pictures
tt0106489,Price Entertainment
tt0109361,Touchstone Pictures
tt0106505,Parkway Productions
tt0106519,Universal Pictures
tt0109439,Castle Rock Entertainment
tt0109443,Metro-Goldwyn-Mayer (MGM)
tt0106582,Carolco Pictures
tt0106598,Paramount Pictures
tt0109456,Cinergi Pictures Entertainment
tt0109480,TriStar Pictures
tt0109493,Imagine Entertainment
tt0106660,Cecchi Gori Europa N.V.
tt0106673,Warner Bros.
tt0106677,Gramercy Pictures (I)
tt0106697,Warner Bros.
tt0109729,Bruce Brown Films
tt0106834,New Line Cinema
tt0106873,Metro-Goldwyn-Mayer (MGM)
tt0109783,Nelson Entertainment
tt0106881,Spring Creek Productions
tt0106880,Incorporated Television Company (ITC)
tt0111732,Spring Creek Productions
tt0106926,Mirage Enterprises
tt0111712,British Screen Productions
tt0106941,Universal Pictures
tt0106965,Warner Bros. Family Entertainment
tt0109842,Lumière Pictures
tt0106977,Warner Bros.
tt0107004,Columbia Pictures
tt0109890,Universal Pictures
tt0109891,Metro-Goldwyn-Mayer (MGM)
tt0109913,Can I Watch
tt0109920,Capitol Films
tt0107057,Hollywood Pictures
tt0107076,Universal Pictures
tt0107096,Alcor Films
tt0107144,Twentieth Century Fox
tt0113674,IRS Media
tt0112966,Miramax
tt0107151,Constantin Film
tt0110064,"Jackson/McHenry Company,The"
tt0110074,PolyGram Filmed Entertainment
tt0110097,Columbia Pictures
tt0110123,Hollywood Pictures
tt0107206,Columbia Pictures
tt0107207,Hell's Kitchen Films
tt0110137,Touchstone Pictures
tt0108551,Touchstone Pictures
tt0110197,Baltimore Pictures
tt0107286,Largo Entertainment
tt0107290,Universal Pictures
tt0107302,PolyGram Filmed Entertainment
tt0110265,Davis-Films
tt0107322,Wildwood Enterprises
tt0110305,Broadway Pictures
tt0107362,Columbia Pictures
tt0107413,Touchstone Pictures
tt0110353,Lightning Ridge
tt0107468,Geffen Pictures
tt0107478,Canal+
tt0107497,Castle Rock Entertainment
tt0107501,Icon Entertainment International
tt0107507,TriStar Pictures
tt0107554,New Line Cinema
tt0116253,Warner Bros.
tt0074102,Argos Films
tt0111689,Genre Pictures
tt0107616,Renaissance Films
tt0107611,Rastar Productions
tt0107613,Night Life Inc.
tt0107614,Twentieth Century Fox
tt0107653,Thin Man Films
tt0110657,Columbia Pictures
tt0110649,Alcor Films
tt0110678,Columbia Pictures
tt0110687,Castle Rock Entertainment
tt0107756,Adventure Pictures
tt0107808,Warner Bros.
tt0107818,TriStar Pictures
tt0107822,CiBy 2000
tt0107840,Columbia Pictures
tt0107889,Touchstone Pictures
tt0111003,Hollywood Pictures
tt0110939,Universal Pictures
tt0110955,Touchstone Pictures
tt0107943,Columbia Pictures
tt0110971,Cinergi Pictures Entertainment
tt0107969,Twentieth Century Fox
tt0111001,Beacon Communications
tt0107978,Orion Pictures
tt0107977,Brooksfilms
tt0107983,Polygram Filmed Entertainment
tt0105275,Film Victoria
tt0108000,Full Crew/Say Yea
tt0108002,TriStar Pictures
tt0108026,Carrie Productions Inc.
tt0105032,Banfilm
tt0111094,Santo Domingo Film & Music Video
tt0108065,Mirage Enterprises
tt0111102,Alcor Films
tt0108071,Warner Bros.
tt0111127,Savoy Pictures
tt0111143,Universal Pictures
tt0108101,Price Entertainment
tt0111194,Touchstone Pictures
tt0111201,British Screen Finance Ltd.
tt0108149,Metro-Goldwyn-Mayer (MGM)
tt0108160,TriStar Pictures
tt0108162,Paramount Pictures
tt0083658,The Ladd Company
tt0108186,Hollywood Pictures
tt0108174,TriStar Pictures
tt0108238,Columbia Pictures
tt0089256,Sara Films
tt0108255,Allied Filmmakers
tt0111323,New Line Cinema
tt0111400,Hollywood Pictures
tt0108328,Rhombus Media
tt0111418,Motion Picture Corporation of America (MPCA)
tt0107688,Touchstone Pictures
tt0108333,Walt Disney Pictures
tt0108358,Hollywood Pictures
tt0111488,Morgan Creek Entertainment
tt0108399,Morgan Creek Entertainment
tt0108515,Cyclone Films
tt0110763,Twentieth Century Fox
tt0107779,Alliance Communications Corporation
tt0110259,Keystone Film Company (II)
tt0114906,Suburban Pictures
tt0109403,Morgan Creek Entertainment
tt0104029,CNCAIMC
tt0110623,Some Film
tt0107315,El Deseo
tt0106408,Channel Four Films
tt0110363,Castle Rock Entertainment
tt0107349,Nordisk Film
tt0109828,Carthago Films S.a.r.l.
tt0107225,Penta Film
tt0111252,Buckeye Films
tt0110366,Universal Pictures
tt0106878,Lili Productions
tt0109120,Paramount Pictures
tt0108059,Claudio Bonivento Productions
tt0110892,Ardican Films
tt0112651,ARTE
tt0107642,Canal+
tt0109382,Sacher Film
tt0106678,Aura Film
tt0112572,Paramount Pictures
tt0099785,Hughes Entertainment
tt0099653,Paramount Pictures
tt0103639,Walt Disney Pictures
tt0103064,Carolco Pictures
tt0096895,Warner Bros.
tt0102926,Strong Heart/Demme Production
tt0029583,Walt Disney Productions
tt0101414,Walt Disney Pictures
tt0032910,Walt Disney Animation Studios
tt0100405,Touchstone Pictures
tt0110719,Fountain Cinema
tt0065214,Warner Bros./Seven Arts
tt0110395,Trimark Pictures
tt0111752,Xi'an Film Studio
tt0109934,Flo-Bert Ltd.
tt0112606,Twentieth Century Fox
tt0117247,Fox 2000 Pictures
