title,genre,belongs_to_franchise,production_company,runtime,popularity,release_season,release_month,averageRating
The Goodbye Girl,Comedy,0,WarnerMedia,111.0,3.937139,Fall,Nov,7.4
I Am Cuba,Drama,0,Other,141.0,2.254539,Summer,Sep,8.2
Sister Act,Other,1,Walt Disney Studios,100.0,18.83065,Spring,May,6.4
Sister Act 2: Back in the Habit,Other,1,Walt Disney Studios,107.0,12.986842,Fall,Dec,5.7
The Hand that Rocks the Cradle,Thriller,0,Other,110.0,6.672715,Winter,Jan,6.7
Alive,Action,0,Other,120.0,8.662287,Winter,Jan,7.1
Agnes of God,Drama,0,Sony Pictures,98.0,3.941689,Summer,Aug,6.6
Wayne's World,Other,1,ViacomCBS,94.0,10.180776,Winter,Feb,7.0
Wayne's World 2,Other,1,ViacomCBS,95.0,10.931683,Fall,Dec,6.2
A League of Their Own,Comedy,0,Sony Pictures,128.0,10.852038,Summer,Jul,7.3
Patriot Games,Drama,1,Other,117.0,11.075674,Spring,Jun,6.9
The Bodyguard,Thriller,0,Other,129.0,9.805017,Fall,Nov,6.3
Death Becomes Her,Fantasy,0,NBCUniversal,104.0,11.017417,Summer,Jul,6.6
Far and Away,Adventure,0,Other,140.0,7.472753,Spring,May,6.6
Howards End,Drama,0,Other,140.0,10.854598,Winter,Mar,7.4
Singles,Comedy,0,WarnerMedia,99.0,10.450148,Summer,Sep,6.7
Twin Peaks: Fire Walk with Me,Drama,0,WarnerMedia,134.0,8.736538,Spring,Jun,7.3
White Men Can't Jump,Comedy,0,Walt Disney Studios,115.0,8.795941,Winter,Mar,6.8
Buffy the Vampire Slayer,Action,0,Walt Disney Studios,86.0,4.941989,Summer,Jul,5.7
Hard Boiled,Action,0,Other,126.0,10.184313,Spring,Apr,7.8
Man Bites Dog,Comedy,0,Other,95.0,8.758096,Spring,May,7.5
El Mariachi,Action,1,Sony Pictures,81.0,9.972591,Summer,Sep,6.9
Stop! Or My Mom Will Shoot,Action,0,Other,87.0,14.40112,Winter,Feb,4.3
Forever Young,Adventure,0,WarnerMedia,102.0,5.050509,Fall,Dec,6.3
The Cutting Edge,Comedy,1,Other,101.0,3.8143,Winter,Mar,6.9
Of Mice and Men,Drama,0,Other,110.0,6.112112,Summer,Sep,7.5
Bad Lieutenant,Crime,0,Other,96.0,6.417037,Summer,Sep,7.1
Scream 3,Horror,1,Other,116.0,9.738371,Winter,Feb,5.6
Single White Female,Thriller,1,Sony Pictures,107.0,7.246119,Summer,Aug,6.4
The Boondock Saints,Action,1,Other,108.0,12.457908,Winter,Jan,7.8
Gun Shy,Action,0,Other,101.0,6.370105,Winter,Feb,5.7
Beloved/Friend,Drama,0,Other,90.0,0.600431,Winter,Jan,6.4
Gendernauts: A Journey Through Shifting Identities,Documentary,0,Other,87.0,0.073744,Spring,Jun,5.8
Knockout,Drama,0,Other,99.0,0.31301,Winter,Feb,3.7
The Baby,Horror,0,Other,84.0,1.261534,Winter,Mar,6.1
The Brandon Teena Story,Documentary,0,Other,89.0,0.107046,Summer,Sep,7.1
Different for Girls,Comedy,0,Other,97.0,0.533219,Fall,Oct,7.0
Minnie and Moskowitz,Drama,0,Other,115.0,2.096508,Fall,Dec,7.3
They Might Be Giants,Comedy,0,NBCUniversal,98.0,2.303594,Spring,Jun,6.8
The Beach,Drama,0,Other,119.0,14.430311,Winter,Feb,6.7
Snow Day,Comedy,0,Other,89.0,6.295701,Winter,Feb,5.1
The Tigger Movie,Other,0,Walt Disney Studios,77.0,7.023414,Winter,Feb,6.3
Cotton Mary,Drama,0,Other,124.0,0.30869,Winter,Jan,5.2
Not One Less,Drama,0,Other,106.0,1.896931,Summer,Sep,7.7
Soft Toilet Seats,Comedy,0,Other,107.0,0.002341,Fall,Dec,5.2
Trois,Drama,1,Other,93.0,0.06431,Winter,Feb,4.1
The Big Combo,Drama,0,Other,84.0,1.787278,Winter,Feb,7.4
Conceiving Ada,Other,0,Other,85.0,0.563712,Winter,Feb,5.2
Eaten Alive,Horror,0,Other,91.0,5.394715,Fall,Dec,5.5
Raining Stones,Comedy,0,Other,90.0,1.592047,Summer,Sep,7.4
"To Sir, with Love",Drama,1,Sony Pictures,105.0,8.138554,Spring,Jun,7.7
With Byrd at the South Pole,Documentary,0,ViacomCBS,82.0,0.10214,Spring,Jun,6.9
Boiler Room,Crime,0,WarnerMedia,118.0,8.518425,Winter,Feb,7.0
Hanging Up,Comedy,0,Sony Pictures,94.0,6.474767,Winter,Feb,4.9
Pitch Black,Thriller,1,Other,108.0,6.424399,Winter,Feb,7.1
The Whole Nine Yards,Comedy,1,Other,98.0,12.061521,Winter,Feb,6.7
Beautiful People,Other,0,Other,107.0,0.978894,Summer,Sep,6.6
Black Tar Heroin: The Dark End of the Street,Documentary,0,Other,75.0,0.232074,Winter,Mar,8.0
Blue Collar,Drama,0,Other,114.0,1.379256,Winter,Feb,7.5
Bluebeard,Other,0,Other,72.0,0.562477,Fall,Nov,5.9
City Lights,Comedy,0,Other,87.0,10.891524,Winter,Jan,8.5
The Flamingo Kid,Comedy,0,Other,100.0,4.418591,Fall,Dec,6.2
The Man from Laramie,Other,0,Other,104.0,5.678463,Summer,Aug,7.3
Class Reunion,Comedy,1,Other,84.0,2.086059,Fall,Oct,4.8
The Big Trees,Romance,0,WarnerMedia,89.0,0.966064,Winter,Feb,5.7
Happy Go Lovely,Other,0,Other,97.0,0.074823,Winter,Mar,6.6
Reindeer Games,Thriller,0,Other,124.0,12.11759,Winter,Feb,5.8
Wonder Boys,Comedy,0,Other,111.0,5.922739,Winter,Feb,7.2
Deterrence,Action,0,Other,101.0,3.682868,Winter,Mar,6.4
Judy Berlin,Comedy,0,Other,93.0,0.316842,Winter,Jan,6.9
Mifune,Romance,0,Other,98.0,2.539346,Winter,Mar,7.1
The Waiting Game,Comedy,0,Other,85.0,1.169592,Winter,Mar,5.3
