imdb_id,id,title,budget,revenue,original_language,genre,belongs_to_franchise,production_company,release_date,cert,runtime,popularity,is_Adult,numVotes,averageRating
tt0112508,11017,Billy Madison,10000000.0,26488734.0,en,Comedy,0,Universal Pictures,1995-02-10,PG-13,89.0,6.638116,0,132616.0,6.4
tt0112571,9382,Boys on the Side,21000000.0,23450000.0,en,Comedy,0,Alcor Films,1995-02-03,R,115.0,3.030309,0,11987.0,6.5
tt0109445,2292,Clerks,27000.0,3151130.0,en,Comedy,1,View Askew Productions,1994-09-13,R,92.0,10.513367,0,212466.0,7.7
tt0112883,1909,Don Juan DeMarco,25000000.0,22200000.0,en,Romance,0,New Line Cinema,1994-10-01,PG-13,97.0,7.438934,0,48557.0,6.7
tt0109635,8984,Disclosure,55000000.0,214015089.0,en,Drama,0,Warner Bros.,1994-12-09,R,123.0,11.812244,0,46872.0,6.1
tt0109686,8467,Dumb and Dumber,16000000.0,247275374.0,en,Comedy,1,New Line Cinema,1994-12-16,PG-13,107.0,9.844558,0,355760.0,7.3
tt0109707,522,Ed Wood,18000000.0,5887457.0,en,Comedy,0,Touchstone Pictures,1994-09-27,R,127.0,11.720358,0,165994.0,7.8
tt0113303,27303,Hideaway,15000000.0,12201255.0,en,Drama,0,TriStar Pictures,1995-03-03,R,103.0,8.182165,0,6363.0,5.4
tt0110005,1024,Heavenly Creatures,5000000.0,3049135.0,en,Drama,0,WingNut Films,1994-09-02,R,99.0,9.438042,0,59171.0,7.3
tt0110066,17207,Houseguest,10500000.0,26325256.0,en,Comedy,0,Hollywood Pictures,1995-01-06,PG,113.0,2.688562,0,6531.0,6.0
tt0110148,628,Interview with the Vampire,60000000.0,223664608.0,en,Horror,1,Geffen Pictures,1994-11-11,R,123.0,11.970205,0,297017.0,7.5
tt0113463,87729,Jefferson in Paris,14000000.0,2474000.0,en,Drama,0,Touchstone Pictures,1995-03-31,PG-13,139.0,1.596058,0,2801.0,5.8
tt0110216,6280,Junior,60000000.0,37000000.0,en,Comedy,0,Universal Pictures,1994-11-22,PG-13,109.0,6.710215,0,65528.0,4.6
tt0076759,11,Star Wars,11000000.0,775398007.0,en,Adventure,1,Lucasfilm,1977-05-25,PG,121.0,42.149697,0,1243460.0,8.6
tt0103994,18183,Like Water for Chocolate,2000000.0,21665468.0,es,Drama,0,Consejo Nacional para la Cultura y las Artes (CONACULTA),1992-04-16,R,105.0,4.126083,0,17007.0,7.1
